possID,Play_by_Play,Score
108,M. Chalmers makes 3-pt jump shot from 24 ft (assist by L. James),45-42
109,Brooklyn full timeout,45-42
110,K. Garnett makes 2-pt jump shot from 18 ft,45-44
111,Unknown,45-44
112,Personal foul by P. Pierce (drawn by M. Chalmers),45-44
113,Turnover by D. Wade (bad pass),45-44
114,A. Anderson makes 3-pt jump shot from 23 ft (assist by K. Garnett),45-47
115,Turnover by M. Chalmers (lost ball),45-47
117,Turnover by A. Blatche (lost ball; steal by D. Wade),45-47
118,Shooting foul by S. Livingston (drawn by D. Wade),47-47
119,End of 2nd quarter,47-47
120,P. Pierce misses 3-pt jump shot from 23 ft,47-47
121,Shooting foul by K. Garnett (drawn by L. James),47-47
122,Shooting foul by U. Haslem (drawn by P. Pierce),48-49
123,U. Haslem misses 2-pt jump shot from 4 ft (block by B. Lopez),48-49
124,Personal foul by U. Haslem (drawn by P. Pierce),48-49
125,Shooting foul by U. Haslem (drawn by B. Lopez),48-51
126,D. Wade misses 3-pt jump shot from 25 ft,48-51
127,P. Pierce makes 2-pt jump shot from 4 ft (assist by D. Williams),48-53
129,Shooting foul by J. Johnson (drawn by D. Wade),51-53
130,B. Lopez misses 2-pt hook shot from 8 ft,51-53
131,D. Wade misses 2-pt jump shot from 19 ft,51-53
132,B. Lopez makes 2-pt dunk from 2 ft (assist by P. Pierce),51-55
133,Shooting foul by B. Lopez (drawn by D. Wade),52-55
135,K. Garnett misses 2-pt jump shot from 18 ft,52-55
139,L. James misses 3-pt jump shot from 25 ft,52-55
140,P. Pierce makes 3-pt jump shot from 23 ft (assist by D. Williams),52-58
141,Def 3 sec tech foul by K. Garnett,53-58
142,L. James misses 2-pt jump shot from 16 ft,53-58
143,A. Blatche makes 2-pt layup from 2 ft (assist by P. Pierce),53-60
144,Miami full timeout,53-60
145,M. Chalmers misses 2-pt layup from 3 ft,53-60
146,Shooting foul by D. Wade (drawn by J. Johnson),53-62
147,Offensive charge foul by C. Bosh (drawn by A. Blatche),53-62
148,J. Johnson misses 2-pt jump shot from 14 ft,53-62
149,Shooting foul by R. Evans (drawn by C. Bosh),55-64
150,A. Blatche makes 2-pt jump shot from 13 ft (assist by P. Pierce),55-66
151,Turnover by L. James (bad pass),55-66
152,Unknown,55-66
153,Offensive foul by R. Evans (drawn by M. Chalmers),55-66
154,M. Chalmers misses 2-pt jump shot from 17 ft,55-66
155,P. Pierce misses 2-pt jump shot from 19 ft,55-66
156,Loose ball foul by S. Battier (drawn by R. Evans),55-67
157,Offensive rebound by Team,55-67
158,J. Johnson makes 2-pt layup from 3 ft,55-69
159,L. James misses 3-pt jump shot from 25 ft,55-69
